origin,destination,route,months_count,total_passengers,mean_passengers,trend,seasonality_strength,recent_growth_pct,recent_avg,test_period_avg,volatility,category
GVA,Abu Dhabi International,GVA-Abu Dhabi International,165,451224,2734.690909090909,-1.2305701965942566,18.493086995701077,-56.17156320163957,1158.909090909091,1164.0,74.78423972225016,high_volume_declining_low_seasonality
GVA,Addis Ababa,GVA-Addis Ababa,165,185556,1124.581818181818,2.232541790433582,32.33076505326897,209.34062460488053,2965.5454545454545,3702.1666666666665,107.93310785370196,mid_volume_high_growth_low_seasonality
GVA,Ajaccio,GVA-Ajaccio,165,264129,1600.7818181818182,0.40362287231879956,99.7871656206059,0.715578449115974,1918.2121212121212,3160.0,104.47753966134874,mid_volume_stable_growth_high_seasonality
GVA,Al Massira,GVA-Al Massira,165,79472,481.6484848484848,2.5723426123724082,21.183134050614463,,1602.1818181818182,1828.3333333333333,144.3350015403769,low_volume_high_growth_low_seasonality
GVA,Algeria,GVA-Algeria,165,243033,1472.9272727272728,0.399844769174419,26.088840631675676,7.551930405763879,2011.8484848484848,2408.8333333333335,56.444487793263875,mid_volume_stable_growth_low_seasonality
GVA,Algiers,GVA-Algiers,165,237685,1440.5151515151515,0.4357424266207403,26.18405132070773,9.08099819263757,2001.121212121212,2391.3333333333335,57.11493548929351,mid_volume_stable_growth_low_seasonality
GVA,Alicante,GVA-Alicante,165,717128,4346.230303030303,0.4853231198091823,39.81850981135098,28.665473087047676,6112.181818181818,6907.333333333333,51.64688254756648,high_volume_stable_growth_low_seasonality
GVA,America,GVA-America,165,5428970,32902.84848484849,0.3460336843333442,19.45697788562075,15.3465555661496,46404.84848484849,49057.5,43.823640634417146,high_volume_stable_growth_low_seasonality
GVA,Amman Queen Alia International,GVA-Amman Queen Alia International,165,96587,585.3757575757576,0.6103410696728485,20.88752067039322,-0.7803083169447416,829.3939393939394,942.6666666666666,56.49654471504499,low_volume_stable_growth_low_seasonality
GVA,Amsterdam Schiphol,GVA-Amsterdam Schiphol,165,3002427,18196.52727272727,-0.3474666256979623,8.375603386138382,-15.61755812567441,16374.787878787878,14185.833333333334,40.06576750753087,high_volume_declining_low_seasonality
